STATE,NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,Long-Acting Opioid Claim Count,Long-Acting Opioid Prescribing Rate,,
AZ,1336112119,POLOWY,CLAYTON,85202,AZ,Medical Oncology,1768,232,13.12217195,103,44.39655172,,
AZ,1588647424,AGARWAL,RAVI,85306,AZ,Otolaryngology,753,19,2.523240372,0,0,,
AZ,1154610764,FEREIRA CARROZ,MARIA,85364,AZ,Internal Medicine,9674,233,2.408517676,0,0,,
AZ,1396158408,MILLER,EMILY,85012,AZ,Nurse Practitioner,3719,404,10.86313525,96,23.76237624,,
AZ,1245525344,GEBREGIORGIS,FISEHA,86442,AZ,Physician Assistant,67,0,0,0,,,
AZ,1043673742,CARR,JOSEPH,85711,AZ,Student in an Organized Health Care Education/Training Program,39,0,0,0,,,
AZ,1437216322,BRADFORD,CLINT,85375,AZ,Dentist,138,32,23.1884058,0,0,,
AZ,1003040981,SHAH,AKSHAY,85381,AZ,Gastroenterology,953,0,0,0,,,
AZ,1295710077,HAYDEN,RICHARD,85259,AZ,Otolaryngology,28,0,0,0,,,
AZ,1487977559,NOLIN,LINDA,85715,AZ,Nurse Practitioner,795,0,0,0,,,
AZ,1720071749,JADOON-KHAMASH,ERUM,85259,AZ,Internal Medicine,2397,88,3.671255736,12,13.63636364,,
AZ,1326248741,AMATO,EMANUEL,85226,AZ,Dentist,135,14,10.37037037,0,0,,
AZ,1114997343,KASSMAN,STEVEN,85013,AZ,Orthopedic Surgery,128,58,45.3125,0,0,,
AZ,1053781955,SERBUS,SARA,85308,AZ,Nurse Practitioner,860,114,13.25581395,,,,
AZ,1154439842,HUEY,JUDY,85258,AZ,Dentist,30,0,0,0,,,
AZ,1154414142,HUGHES,MICHAEL,86336,AZ,Dentist,30,0,0,0,,,
AZ,1912230715,FULCHER,WILLIAM,85296,AZ,Dentist,319,70,21.94357367,0,0,,
AZ,1699749150,EDELSTEIN,JEFFREY,85224,AZ,Ophthalmology,162,15,9.259259259,0,0,,
AZ,1720009814,MANE,SHEILA,86401,AZ,Internal Medicine,9594,549,5.722326454,30,5.464480874,,
AZ,1538498928,DOBSON,MICHAEL,86301,AZ,Physician Assistant,343,189,55.10204082,0,0,,
AZ,1427111541,LEBEAU,LAWRENCE,85234,AZ,Family Practice,16,0,0,0,,,
AZ,1013373976,KIM,JOYCE,85013,AZ,Nurse Practitioner,755,18,2.38410596,0,0,,
AZ,1164869459,MYER,KALEY,85712,AZ,Dermatology,205,0,0,0,,,
AZ,1023232014,ALTMAN,SHEM,85253,AZ,Pathology,19,0,0,0,,,
AZ,1629090683,EISNER,LESLIE,85050,AZ,Ophthalmology,642,0,0,0,,,
AZ,1043214448,KEYHANI,JALEH,85014,AZ,Oral Surgery (Dentist only),114,34,29.8245614,0,0,,
AZ,1023022456,BOESCH,DAVID,85201,AZ,Emergency Medicine,221,47,21.26696833,0,0,,
AZ,1598733651,BHATIA,NISHA,85381,AZ,Cardiology,1673,0,0,0,,,
AZ,1235536897,AURANGZEB,MUHAMMAD,85364,AZ,Internal Medicine,228,0,0,0,,,
AZ,1912931601,PATEL,SUNDEEP,85308,AZ,Cardiac Surgery,34,0,0,0,,,
AZ,1073513131,CARPENTER,JAMES,85306,AZ,Internal Medicine,8970,125,1.393534002,12,9.6,,
AZ,1386719706,KAOCHAROEN,TONY,85253,AZ,Dentist,64,0,0,0,,,
AZ,1073590014,ALEXANDER,ERIK,85258,AZ,Urology,1291,25,1.936483346,0,0,,
AZ,1548289580,NAFISI,KHOSROW,85021,AZ,Internal Medicine,6544,44,0.672371638,0,0,,
AZ,1073528576,FAIGEL,DOUGLAS,85259,AZ,Gastroenterology,99,0,0,0,,,
AZ,1669758959,KEO,PHOUNING,85260,AZ,Nurse Practitioner,3464,65,1.876443418,0,0,,
AZ,1922028513,NOORI,NAZAR,85006,AZ,Internal Medicine,84,0,0,0,,,
AZ,1356781843,BOWEN,LAUREN,85724,AZ,General Practice,66,0,0,,,,
AZ,1598732372,COCKETT,MATTHEW,85395,AZ,Family Practice,9234,391,4.23435131,,,,
AZ,1073799813,FRANCYK,DAVID,85018,AZ,Family Practice,4890,269,5.501022495,43,15.98513011,,
AZ,1730639964,GASTON,MAUREEN,85206,AZ,Nurse Practitioner,448,0,0,0,,,
AZ,1952501256,LEE,DONGWOOK,85748,AZ,Dentist,197,13,6.598984772,0,0,,
AZ,1861736464,GEISLER,BRENDA,85303,AZ,Nurse Practitioner,390,0,0,,,,
AZ,1356731418,BROWN,DELANA,85042,AZ,Nurse Practitioner,137,0,0,0,,,
AZ,1740494665,STIEGLER,BRIDGET,86001,AZ,Hospice and Palliative Care,66,31,46.96969697,,,,
AZ,1184970592,EDWARDS,KYLE,85712,AZ,Internal Medicine,327,31,9.480122324,,,,
AZ,1780785246,FAIN,MINDY,95723,AZ,Geriatric Medicine,56,0,0,,,,
AZ,1174915839,BEAVER,ELIZABETH,85251,AZ,Nurse Practitioner,100,0,0,0,,,
AZ,1326299900,BASKIN,ANGELA,85086,AZ,Dentist,18,0,0,0,,,
AZ,1932167632,RUMMEL,JOHN,86301,AZ,Ophthalmology,1914,0,0,0,,,
AZ,1881008530,DARDIS,DANIELLE,85724,AZ,Emergency Medicine,17,0,0,0,,,
AZ,1699185181,WHITING,ALEXANDER,85013,AZ,Student in an Organized Health Care Education/Training Program,15,0,0,0,,,
AZ,1942270962,MASELLI,MARY,85283,AZ,Podiatry,451,38,8.425720621,0,0,,
AZ,1952347080,PORZUKOWIAK,TINA,85308,AZ,Optometry,152,0,0,0,,,
AZ,1821093667,JACKSON,BROCK,85016,AZ,Obstetrics & Gynecology,15,0,0,0,,,
AZ,1104267780,NELSON,JACOB,85202,AZ,Podiatry,38,16,42.10526316,,,,
AZ,1972032803,KENRICK,ANTHONY,85712,AZ,Internal Medicine,21,0,0,0,,,
AZ,1578993671,HENRY,JESSICA,85016,AZ,Physician Assistant,194,16,8.24742268,0,0,,
AZ,1013094218,SCHWARTZ,GAIL,85704,AZ,Psychiatry,903,0,0,0,,,
AZ,1255317327,MELENDEZ,MAYRA,85748,AZ,Internal Medicine,7414,351,4.734286485,56,15.95441595,,
AZ,1285759597,SMITH,CADE,85018,AZ,Dentist,63,13,20.63492064,0,0,,
AZ,1770742579,SLIVKA,MATTHEW,85743,AZ,Dentist,86,0,0,0,,,
AZ,1841230976,KO,WILLIAM,85021,AZ,Dermatology,1048,99,9.446564886,0,0,,
AZ,1053458802,CHRISTODOULAKIS,THEO,85224,AZ,Naturopath,19,0,0,0,,,
